序号,篇名,作者,刊名,发表时间,被引,自引,外引,文献总数,数据库编码,数据库名,文件编号
2327,新课标下高中英语教学的三个转变,林珊,英语广场,2019-07-22 14:08,1,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201908064
2329,中职学生制作英语素材的多模态教学对英语成绩的影响研究,陈晶,英语广场,2019-07-22 14:08,1,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201908066
2349,基于培养思辨能力的初中英语写作探究,蔡宇,英语广场,2019-07-22 14:08,1,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201908085
2351,高中英语课堂“以读促写”教学案例分析,许建霞,英语广场,2019-07-22 14:08,5,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201908087
2358,傅雷“神似说”与奈达“功能对等”理论的异同点分析,王琳,英语广场,2019-08-23 09:26,5,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201909016
2360,浅谈机器翻译的应用与前景分析,赫云露；胡乔；李桂丽；刘佳,英语广场,2019-08-23 09:26,7,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201909010
2364,流行语“盘它”的模因论解读,杨姣,英语广场,2019-08-23 09:26,1,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201909019
2370,ESA教学法在中职英语微课设计中的应用初探,周毓,英语广场,2019-08-23 09:26,1,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201909065
2376,微课程群理念下的初中英语“中华古典诗词”的开发与运用,张庆华,英语广场,2019-08-23 09:26,2,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201909071
2379,基于核心素养培养的初中英语阅读教学思考,刘阳,英语广场,2019-08-23 09:26,8,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201909074
2385,过程写作法在初中英语写作教学中的应用,管月娟,英语广场,2019-08-23 09:26,9,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201909080
2386,浅析小学生英语阅读能力的培养,龚晨苑,英语广场,2019-08-23 09:26,8,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201909081
2387,论微课在初中英语教学中的应用,陈春晖；代俊华,英语广场,2019-08-23 09:26,5,-1,-1,2704,CJFD,CJFDLAST2019,YGXS201909082
